id,left,top,right,bottom,row_index,col_index,id_2,geometry
574.0,250388.21380677065,316813.41320759384,250403.21380677065,316798.41320759384,33.0,9.0,1,"POLYGON ((250403.2138067707 316813.4132075938, 250403.2138067707 316798.4132075938, 250388.2138067707 316798.4132075938, 250388.2138067707 316813.4132075938, 250403.2138067707 316813.4132075938))"
1619.0,250643.21380677065,316438.41320759384,250658.21380677065,316423.41320759384,58.0,26.0,1,"POLYGON ((250658.2138067707 316438.4132075938, 250658.2138067707 316423.4132075938, 250643.2138067707 316423.4132075938, 250643.2138067707 316438.4132075938, 250658.2138067707 316438.4132075938))"
563.0,250388.21380677065,316978.41320759384,250403.21380677065,316963.41320759384,22.0,9.0,1,"POLYGON ((250403.2138067707 316978.4132075938, 250403.2138067707 316963.4132075938, 250388.2138067707 316963.4132075938, 250388.2138067707 316978.4132075938, 250403.2138067707 316978.4132075938))"
564.0,250388.21380677065,316963.41320759384,250403.21380677065,316948.41320759384,23.0,9.0,1,"POLYGON ((250403.2138067707 316963.4132075938, 250403.2138067707 316948.4132075938, 250388.2138067707 316948.4132075938, 250388.2138067707 316963.4132075938, 250403.2138067707 316963.4132075938))"
1617.0,250643.21380677065,316468.41320759384,250658.21380677065,316453.41320759384,56.0,26.0,1,"POLYGON ((250658.2138067707 316468.4132075938, 250658.2138067707 316453.4132075938, 250643.2138067707 316453.4132075938, 250643.2138067707 316468.4132075938, 250658.2138067707 316468.4132075938))"
561.0,250388.21380677065,317008.41320759384,250403.21380677065,316993.41320759384,20.0,9.0,1,"POLYGON ((250403.2138067707 317008.4132075938, 250403.2138067707 316993.4132075938, 250388.2138067707 316993.4132075938, 250388.2138067707 317008.4132075938, 250403.2138067707 317008.4132075938))"
1618.0,250643.21380677065,316453.41320759384,250658.21380677065,316438.41320759384,57.0,26.0,1,"POLYGON ((250658.2138067707 316453.4132075938, 250658.2138067707 316438.4132075938, 250643.2138067707 316438.4132075938, 250643.2138067707 316453.4132075938, 250658.2138067707 316453.4132075938))"
562.0,250388.21380677065,316993.41320759384,250403.21380677065,316978.41320759384,21.0,9.0,1,"POLYGON ((250403.2138067707 316993.4132075938, 250403.2138067707 316978.4132075938, 250388.2138067707 316978.4132075938, 250388.2138067707 316993.4132075938, 250403.2138067707 316993.4132075938))"
567.0,250388.21380677065,316918.41320759384,250403.21380677065,316903.41320759384,26.0,9.0,1,"POLYGON ((250403.2138067707 316918.4132075938, 250403.2138067707 316903.4132075938, 250388.2138067707 316903.4132075938, 250388.2138067707 316918.4132075938, 250403.2138067707 316918.4132075938))"
568.0,250388.21380677065,316903.41320759384,250403.21380677065,316888.41320759384,27.0,9.0,1,"POLYGON ((250403.2138067707 316903.4132075938, 250403.2138067707 316888.4132075938, 250388.2138067707 316888.4132075938, 250388.2138067707 316903.4132075938, 250403.2138067707 316903.4132075938))"
565.0,250388.21380677065,316948.41320759384,250403.21380677065,316933.41320759384,24.0,9.0,1,"POLYGON ((250403.2138067707 316948.4132075938, 250403.2138067707 316933.4132075938, 250388.2138067707 316933.4132075938, 250388.2138067707 316948.4132075938, 250403.2138067707 316948.4132075938))"
566.0,250388.21380677065,316933.41320759384,250403.21380677065,316918.41320759384,25.0,9.0,1,"POLYGON ((250403.2138067707 316933.4132075938, 250403.2138067707 316918.4132075938, 250388.2138067707 316918.4132075938, 250388.2138067707 316933.4132075938, 250403.2138067707 316933.4132075938))"
1568.0,250643.21380677065,317203.41320759384,250658.21380677065,317188.41320759384,7.0,26.0,1,"POLYGON ((250658.2138067707 317203.4132075938, 250658.2138067707 317188.4132075938, 250643.2138067707 317188.4132075938, 250643.2138067707 317203.4132075938, 250658.2138067707 317203.4132075938))"
